Week Ending,Year,This Week Gross,Potential Gross,Avg Ticket,Top Ticket,Seats Sold,Seats in Theatre,% Cap This Week
2025-05-04,2025,2232068.0,,144.86,352.0,154,81.0,100.0
2025-04-27,2025,2577767.0,,167.3,352.0,154,81.0,100.0
2025-04-20,2025,3333277.0,,192.3,352.0,173,341.0,100.0
2025-04-13,2025,2462861.0,,159.84,352.0,154,81.0,100.0
2025-04-06,2025,2476681.0,,160.74,352.0,154,81.0,100.0
2025-03-30,2025,2561828.0,,166.27,352.0,154,81.0,100.0
2025-03-23,2025,2545281.0,,165.19,352.0,154,81.0,100.0
2025-03-16,2025,2490180.0,,161.62,352.0,154,81.0,100.0
2025-03-09,2025,2435631.0,,158.08,352.0,154,81.0,100.0
2025-03-02,2025,2368448.0,,153.72,352.0,154,81.0,100.0
2025-02-23,2025,2561492.0,,166.24,375.0,154,81.0,100.0
2025-02-16,2025,2628457.0,,170.59,375.0,154,81.0,100.0
2025-02-09,2025,2324693.0,,150.88,375.0,154,81.0,100.0
2025-02-02,2025,2319734.5,,150.55,375.0,154,81.0,100.0
2025-01-26,2025,2415881.0,,156.79,375.0,154,81.0,100.0
2025-01-19,2025,2602661.0,,168.92,375.0,154,81.0,100.0
2025-01-12,2025,2425656.0,,157.43,375.0,154,81.0,100.0
2025-01-05,2025,3294179.0,,213.8,375.0,154,81.0,100.0
2024-12-29,2024,5037392.0,,290.61,505.0,173,341.0,100.0
2024-12-22,2024,3024095.0,,196.27,350.0,154,81.0,100.0
2024-12-15,2024,2878086.0,,186.79,350.0,154,81.0,100.0
2024-12-08,2024,2782795.0,,180.61,350.0,154,81.0,100.0
2024-12-01,2024,2930221.0,,190.18,350.0,154,81.0,100.0
2024-11-24,2024,2560160.0,,166.16,350.0,154,81.0,100.0
2024-11-17,2024,2445380.0,,158.71,275.0,154,81.0,100.0
2024-11-10,2024,2451246.0,,159.09,275.0,154,81.0,100.0
2024-11-03,2024,2279448.25,,148.23,275.0,153,781.0,99.81
2024-10-27,2024,2217313.0,,144.29,275.0,153,671.0,99.73
2024-10-20,2024,2231866.0,,144.85,275.0,154,81.0,100.0
2024-10-13,2024,2486411.25,,162.13,275.0,153,361.0,99.53
2024-10-06,2024,2046098.25,,142.14,275.0,143,951.0,99.58
2024-09-29,2024,1784757.5,,134.38,275.0,132,811.0,91.87
2024-09-22,2024,1636895.0,,133.77,275.0,122,371.0,84.65
2024-09-15,2024,1831493.5,,121.48,275.0,150,761.0,97.85
2024-09-08,2024,1755476.5,,118.69,275.0,147,901.0,99.05
2024-09-01,2024,2181880.0,,146.08,275.0,149,361.0,96.94
2024-08-25,2024,1978104.0,,134.2,275.0,147,401.0,98.71
2024-08-18,2024,1981378.0,,142.35,275.0,139,191.0,96.29
2024-08-11,2024,2226851.0,,146.52,275.0,151,981.0,98.64
2024-08-04,2024,2191994.0,,145.87,275.0,150,271.0,97.53
2024-07-28,2024,2266369.0,,147.72,275.0,153,421.0,99.57
2024-07-21,2024,2158363.0,,145.41,275.0,148,431.0,99.4
2024-07-14,2024,2103272.0,,144.27,275.0,145,791.0,97.64
2024-07-07,2024,2187828.0,,145.34,275.0,150,531.0,97.7
2024-06-30,2024,2143556.0,,142.61,275.0,150,311.0,97.55
2024-06-23,2024,2222692.0,,145.54,275.0,152,721.0,99.12
2024-06-16,2024,2071557.0,,137.98,275.0,150,141.0,97.44
2024-06-09,2024,2077910.0,,137.84,275.0,150,751.0,97.84
2024-06-02,2024,1981260.0,,134.26,275.0,147,571.0,98.83
2024-05-26,2024,2003492.0,,134.35,275.0,149,121.0,99.87
2024-05-19,2024,1847043.0,,131.43,275.0,140,531.0,97.21
2024-05-12,2024,1721354.0,,127.39,275.0,135,121.0,93.47
2024-05-05,2024,1586005.0,,123.02,275.0,128,921.0,89.18
2024-04-28,2024,1926859.0,,129.36,275.0,148,951.0,99.75
2024-04-21,2024,1966132.0,,131.43,275.0,149,591.0,97.09
2024-04-14,2024,1957361.0,,129.62,275.0,151,11.0,98.01
2024-04-07,2024,2400463.0,,155.79,275.0,154,81.0,100.0
2024-03-31,2024,2910585.0,,167.91,275.0,173,341.0,100.0
2024-03-24,2024,2043444.25,,133.81,275.0,152,711.0,99.11
2024-03-17,2024,2105229.0,,136.68,275.0,154,31.0,99.97
2024-03-10,2024,1836268.0,,125.96,275.0,145,781.0,97.63
2024-03-03,2024,1603874.25,,118.58,275.0,135,261.0,93.57
2024-02-25,2024,2017689.75,,133.07,275.0,151,631.0,98.41
2024-02-18,2024,1933993.25,,132.47,275.0,146,1.0,97.78
2024-02-11,2024,1303287.75,,113.14,275.0,115,191.0,79.68
2024-02-04,2024,1602195.0,,108.29,275.0,147,961.0,99.09
2024-01-28,2024,1634333.5,,112.34,275.0,145,481.0,97.43
2024-01-21,2024,1695760.0,,118.94,275.0,142,571.0,98.62
2024-01-14,2024,1757766.0,,131.05,275.0,134,131.0,92.79
2024-01-07,2024,2124815.0,,139.99,275.0,151,781.0,98.51
2023-12-31,2023,4003233.0,,231.01,275.0,173,291.0,99.97
2023-12-24,2023,2525966.0,,164.13,275.0,153,901.0,99.88
2023-12-17,2023,2309240.0,,149.92,275.0,154,31.0,99.97
2023-12-10,2023,2263703.0,,147.44,275.0,153,531.0,99.64
2023-12-03,2023,2109634.0,,146.69,275.0,143,821.0,99.49
2023-11-26,2023,2573538.0,,172.27,275.0,149,391.0,96.96
2023-11-19,2023,1780950.0,,132.65,275.0,134,261.0,92.87
2023-11-12,2023,1864500.0,,132.03,275.0,141,221.0,97.69
2023-11-05,2023,1834506.0,,134.18,275.0,136,721.0,94.58
2023-10-29,2023,1922483.0,,137.09,275.0,140,231.0,97.0
2023-10-22,2023,1809977.0,,124.83,275.0,144,991.0,97.1
2023-10-15,2023,1906835.0,,127.35,275.0,149,731.0,97.18
2023-10-08,2023,1926142.0,,135.58,275.0,142,71.0,98.28
2023-10-01,2023,1420368.0,,120.2,275.0,118,171.0,81.74
2023-09-24,2023,1321960.0,,118.82,275.0,111,261.0,76.96
2023-09-17,2023,1526289.0,,107.59,275.0,141,861.0,98.13
2023-09-10,2023,1487873.0,,107.2,275.0,138,791.0,96.01
2023-09-03,2023,1697026.5,,125.16,275.0,135,591.0,93.79
2023-08-27,2023,1514362.0,,121.39,275.0,124,751.0,86.3
2023-08-20,2023,1559480.0,,125.43,275.0,124,331.0,86.01
2023-08-13,2023,1808293.0,,130.32,275.0,138,761.0,95.99
2023-08-06,2023,1910102.0,,130.96,275.0,145,851.0,97.68
2023-07-30,2023,2139425.0,,130.05,275.0,164,511.0,98.28
2023-07-23,2023,1916041.0,,131.65,275.0,145,541.0,97.47
2023-07-16,2023,1802596.0,,130.33,275.0,138,311.0,95.68
2023-07-09,2023,1967790.0,,132.37,275.0,148,661.0,99.56
2023-07-02,2023,1880218.0,,130.76,275.0,143,791.0,99.47
2023-06-25,2023,1993797.0,,130.98,275.0,152,221.0,98.79
2023-06-18,2023,1985112.0,,130.16,275.0,152,511.0,98.98
2023-06-11,2023,1954264.0,,128.82,275.0,151,701.0,98.46
2023-06-04,2023,1873517.0,,126.9,275.0,147,641.0,98.87
2023-05-28,2023,1825756.0,,123.79,275.0,147,491.0,98.77
2023-05-21,2023,1678944.0,,120.92,275.0,138,851.0,96.05
2023-05-14,2023,1500186.0,,119.64,275.0,125,391.0,86.74
2023-05-07,2023,1484958.0,,119.0,275.0,124,791.0,86.32
2023-04-30,2023,1652822.0,,120.45,275.0,137,221.0,94.92
2023-04-23,2023,1732716.0,,123.03,275.0,140,841.0,97.43
2023-04-16,2023,2251012.0,,147.53,275.0,152,581.0,99.03
2023-04-09,2023,2751659.0,,158.81,275.0,173,271.0,99.96
2023-04-02,2023,2001359.0,,130.42,275.0,153,461.0,99.6
2023-03-26,2023,1878920.0,,126.5,275.0,148,531.0,99.47
2023-03-19,2023,2038192.0,,132.5,275.0,153,831.0,99.84
2023-03-12,2023,1689369.0,,114.98,275.0,146,931.0,98.4
2023-03-05,2023,1388296.0,,108.26,275.0,128,241.0,88.71
2023-02-26,2023,1781581.0,,121.75,275.0,146,331.0,98.0
2023-02-19,2023,1791292.0,,128.68,275.0,139,211.0,96.3
2023-02-12,2023,1466259.5,,99.02,275.0,148,81.0,99.17
2023-02-05,2023,1492754.5,,104.73,275.0,142,541.0,98.6
2023-01-29,2023,1549246.5,,109.09,275.0,142,11.0,98.24
2023-01-22,2023,1657436.5,,114.37,275.0,144,921.0,97.05
2023-01-15,2023,1667292.0,,121.21,275.0,137,551.0,95.15
2023-01-08,2023,1982764.0,,129.6,275.0,152,991.0,99.29
2023-01-01,2023,3152679.0,,181.88,275.0,173,341.0,100.0
2022-12-25,2022,2362930.0,,156.28,275.0,151,201.0,98.13
2022-12-18,2022,2159025.0,,141.44,275.0,152,651.0,99.07
2022-12-11,2022,2083245.0,,136.72,275.0,152,371.0,98.89
2022-12-04,2022,1824793.0,,132.01,250.0,138,231.0,95.62
2022-11-27,2022,2320543.0,,157.39,275.0,147,441.0,98.74
2022-11-20,2022,1619326.0,,121.18,250.0,133,631.0,92.44
2022-11-13,2022,1704565.0,,120.94,250.0,140,941.0,97.5
2022-11-06,2022,1413132.0,,110.97,250.0,127,341.0,88.09
2022-10-30,2022,1346056.0,,109.17,250.0,123,301.0,85.29
2022-10-23,2022,1610381.0,,117.45,250.0,137,111.0,94.85
2022-10-16,2022,1726236.0,,119.02,250.0,145,41.0,97.13
2022-10-09,2022,1839357.0,,128.84,250.0,142,761.0,98.75
2022-10-02,2022,1328656.0,,109.59,250.0,121,241.0,83.87
2022-09-25,2022,1496980.5,,106.3,250.0,140,831.0,97.42
2022-09-18,2022,1414987.5,,106.0,250.0,133,491.0,92.34
2022-09-11,2022,1360100.0,,103.67,250.0,131,191.0,90.75
2022-09-04,2022,1534385.0,,121.53,250.0,126,261.0,87.34
2022-08-28,2022,1353948.0,,115.82,250.0,116,901.0,80.87
2022-08-21,2022,1590189.0,,125.27,250.0,126,941.0,87.81
2022-08-14,2022,1562630.0,,128.17,260.0,121,921.0,84.34
2022-08-07,2022,1705618.0,,130.71,260.0,130,491.0,90.27
2022-07-31,2022,1936020.0,,132.16,260.0,146,491.0,90.08
2022-07-24,2022,1846484.0,,133.16,260.0,138,671.0,95.93
